"id","response","text"
1124,"Cirque du Soleil - Beatles Love","visual feast front wow                                                                                                                        "
1125,"Cirque du Soleil - Beatles Love","gotta sans star due interpretive dance death defying defying stunts                                                                                                                     "
1126,"Cirque du Soleil - Beatles Love","raw talent talent agility sheer body body strength honestly blow cares didn NAnd row row frankly eyes ears ears amp amp nose constant shadowy shadowy video actual audio audio fame bj tables tables bars bars amp amp restaurants                                                                                                       "
1127,"Cirque du Soleil - Beatles Love","music mis                                                                                                                         "
1128,"Cirque du Soleil - Beatles Love","smiles returning continually attract huge audience hits cd performance dance jumps skates intermission appeals seats late feel free bad seat                                                                                                                "
1129,"Cirque du Soleil - Beatles Love","john paul paul george mind blowing blowing suddenly life worth dime wink                                                                                                                    "
1130,"Cirque du Soleil - Beatles Love","amazing experience experience totally totally epic teary eyed music selection stop action vegas totally                                                                                                                   "
1131,"Cirque du Soleil - Beatles Love","deal online                                                                                                                         "
1132,"Cirque du Soleil - Beatles Love","recently wow sensory overload                                                                                                                        "
1133,"Cirque du Soleil - Beatles Love","mechanical difficulties center staged finished fixing offered free free drinks dinner reservation                                                                                                                    "
1134,"Cirque du Soleil - Beatles Love","highly impressed nose bleed bleed section balcony level bad seat                                                                                                                     "
1135,"Cirque du Soleil - Beatles Love","visual effects stage changes changes lighting seats literally                                                                                                                      "
1136,"Cirque du Soleil - Beatles Love","las vegas                                                                                                                         "
1137,"Cirque du Soleil - Beatles Love","sheer athleticism simply incredible art direction images projected documentary based                                                                                                                     "
1138,"Cirque du Soleil - Beatles Love","acts songs songs aka lsd phase                                                                                                                       "
1139,"Cirque du Soleil - Beatles Love","stop action poignant theatre theatre props                                                                                                                       "
1140,"Cirque du Soleil - Beatles Love","class experience las vegas ears comfortable comfortable seats                                                                                                                      "
1141,"Cirque du Soleil - Beatles Love","pleasantly surprised mind blowing bad seat top balcony pretty cool kinda bummed visual stuff real pointless pointless acts rain boot boot set entertaining portion discount price audience don worth checking                                                                                                           "
1142,"Cirque du Soleil - Beatles Love","special cocktails                                                                                                                         "
1143,"Cirque du Soleil - Beatles Love","las vegas mirage web web site bar provides nice quality quality drinks reasonable price excellent seat beatle movies music played roller blade blade specialists enjoy acrobatic acrobatic acts amazing theater theater production enjoy interpretive interpretive dance quality productions people siting relaxing enjoyable                                                                                                     "
1144,"Cirque du Soleil - Beatles Love","hard core action packed highly recommend true production art form form compared acrobatic stunts                                                                                                                   "
1145,"Cirque du Soleil - Beatles Love","completely blown sooo glad                                                                                                                        "
1147,"Cirque du Soleil - Beatles Love","ka amp stop action bad seat amazing tip crowds arrive mob scene                                                                                                                    "
1148,"Cirque du Soleil - Beatles Love","absolutely amazing amazing beatle beatle fan gigantic super super sized sized frozen frozen margaritas concession stand                                                                                                                  "
1149,"Cirque du Soleil - Beatles Love","crazy acrobatic acrobatic acts jumping flipping creeper cocktails concession stands                                                                                                                     "
1150,"Cirque du Soleil - Beatles Love","visuals match music perfectly perfectly espically song octopus underwater scene songs sound sound system                                                                                                                   "
1151,"Cirque du Soleil - Beatles Love","NAth time seat everytime                                                                                                                        "
1152,"Cirque du Soleil - Beatles Love","fun uplifting entire night ticket price                                                                                                                       "
1153,"Cirque du Soleil - Beatles Love","seats sec felt grateful awesome effect                                                                                                                       "
1154,"Cirque du Soleil - Beatles Love","vip package center aisle equaled eye eye level level yay lovely piece barely falls top ten ten favorite favorite cirques fan stars stars based                                                                                                              "
1156,"Cirque du Soleil - Beatles Love","fun entertaining                                                                                                                         "
1157,"Cirque du Soleil - Beatles Love","costumes props corner section                                                                                                                        "
1158,"Cirque du Soleil - Beatles Love","people detailed sound system specials online                                                                                                                       "
1160,"Cirque du Soleil - Beatles Love","perfect tribute shirts tho                                                                                                                        "
1162,"Cirque du Soleil - Beatles Love","reviews rave interpretive dance acrobatic acts recommend buying ridiculous spectacle spectacle performed ticket price arm flailing                                                                                                                  "
1163,"Cirque du Soleil - Beatles Love","absolutely amazing totally blown                                                                                                                        "
1165,"Cirque du Soleil - Beatles Love","awesome performance performance music music dancing bit acrobatics acrobatics nice nice stage stage floor floor designs balcony NAst NAst row row enjoy bad seats beautifully arranged amazing experience                                                                                                            "
1166,"Cirque du Soleil - Beatles Love","music imaginative imaginative performances performances including                                                                                                                       "
1167,"Cirque du Soleil - Beatles Love","visually stunning                                                                                                                         "
1168,"Cirque du Soleil - Beatles Love","interpretive dance                                                                                                                         "
1169,"Cirque du Soleil - Beatles Love","bad seat                                                                                                                         "
1170,"Cirque du Soleil - Beatles Love","totally pleasantly pleasantly surprised balcony seats limited viewing costumes design music marathon marathon style style lighting fit perfectly grand musical dancers delivered delivered theatrical theatrical professional professional beautiful beautiful dance dance moves                                                                                                          "
1171,"Cirque du Soleil - Beatles Love","seats spectacular spectacular views watching people people climb climb ropes                                                                                                                     "
1172,"Cirque du Soleil - Beatles Love","nevada residents awesomely illegal illegal pictures                                                                                                                       "
1173,"Cirque du Soleil - Beatles Love","rock band band game bad seat felt interactive experience purchased huge cup venetian gondola gondola ride ride guy                                                                                                                 "
1174,"Cirque du Soleil - Beatles Love","choreography art art design design visuals set beautifully complete emotional emotional range fantastic journey highly recommend                                                                                                                  "
1175,"Cirque du Soleil - Beatles Love","hey jude jude imagine imagine lucy yellow submarine corny jokes freaking awesome history lesson NANANA bajillion bajillion stars                                                                                                                 "
1176,"Cirque du Soleil - Beatles Love","perfectly directed rehearsal time ballet elements engineering marvel                                                                                                                      "
1177,"Cirque du Soleil - Beatles Love","basically forced uninterested due super cheap cheap due                                                                                                                      "
1178,"Cirque du Soleil - Beatles Love","free front front row row tickets                                                                                                                       "
1179,"Cirque du Soleil - Beatles Love","expectations weren period piece piece including historical background opaque screens confusing distracting screens existed visually striking striking aspects flowing white white sheet                                                                                                               "
1180,"Cirque du Soleil - Beatles Love","vegas worthwhile absolutely amazing loud beautiful beautiful fun awesome time                                                                                                                     "
1182,"Cirque du Soleil - Beatles Love","times mind mind bending                                                                                                                        "
1184,"Cirque du Soleil - Beatles Love","lifeeeeeee amazingamazingamazing                                                                                                                         "
1185,"Cirque du Soleil - Beatles Love","odd costumes costumes running                                                                                                                        "
1186,"Cirque du Soleil - Beatles Love","absolutely fantastic score tickets nice folks fun follow magical fun past times times wars humanity translated mind blowing blowing acrobatics psychedelic atmosphere concession stand bit lost character roles sit mid front row performance happens special affects                                                                                                        "
1187,"Cirque du Soleil - Beatles Love","die hard hard fan bit pricey tickets directly mirage website special effects                                                                                                                    "
1188,"Cirque du Soleil - Beatles Love","spectacularly phenomenal pun intended speakers built uber surround surround sound                                                                                                                     "
1190,"Cirque du Soleil - Beatles Love","musical memories memories including including riding NANANA pontiac sgt pepper pepper playing track player songs intimately delightful surprise surprise pieces master tracks sound unheard time totally totally familiar sound system ka theatre theatre seating miss elements stage direction bad seat house maintaining costuming props props dancing eyes simply simply amazing highly recommend recommend viewing george harrison guy laliberte final form                                                                                            "
1191,"Cirque du Soleil - Beatles Love","minute interlude movie screen screen playing style cartoons                                                                                                                      "
1193,"Cirque du Soleil - Beatles Love","yoko ono absolutely breathtaking                                                                                                                        "
1194,"Cirque du Soleil - Beatles Love","stage sets sets costumes costumes art art direction genuine effort politically correct correct iNAe iNAe memories war torn torn lebanon strawberry fields john lennon orphan children recurring theme fun blue blue sheet elusive yellow yellow submarine nuther dimension personal opinion hard time art imitates imitates life life imitates imitates art                                                                                                 "
1195,"Cirque du Soleil - Beatles Love","gigantic drinks pretty delicious set changes shares similar similar elements                                                                                                                     "
1196,"Cirque du Soleil - Beatles Love","entire stage stuck sitting drunk guy shrill whistling single usher                                                                                                                     "
1197,"Cirque du Soleil - Beatles Love","hafta agree super tired acrobatic sections slow confusing white sheet seat level weird spots times blocked artists performing close call                                                                                                                "
1199,"Cirque du Soleil - Beatles Love","clever dance dance steps flying acrobatics roller blading blading quarter quarter pipes pipes nets telephone booth live swing acrobat flips classical music rock pop pop hip hip hop dolby NANANA NANANA surround surround sound sound built moving performance special treat yellow submarine submarine tent tent pops                                                                                                   "
1200,"Cirque du Soleil - Beatles Love","songs fantastic                                                                                                                         "
1201,"Cirque du Soleil - Beatles Love","front row simply polished theatre dance dance music                                                                                                                      "
1202,"Cirque du Soleil - Beatles Love","breathtaking experience artistry music music directing directing choreography choreography wow absolutely favorite favorite moment roll song creative moments                                                                                                                 "
1203,"Cirque du Soleil - Beatles Love","basically felt half price previous experience                                                                                                                       "
1204,"Cirque du Soleil - Beatles Love","expected sat ticket totally totally worth super colorful vegas amazing amazing special special effects sound system favorite scene totally blew                                                                                                                "
1205,"Cirque du Soleil - Beatles Love","bit hesitant regula acrobatic artsy concentrating boring moment NArd row student discount                                                                                                                    "
1206,"Cirque du Soleil - MJ One","yelp doesn ing amazing michael jackson jackson fan mf fan people dance signature moves iconic performance billie jean moon walk paparazzi message audience suddenly genius left amazing songs songs including deep tracks absolutely positively positively worth ticket price bad view top acrobatics amazing dancing dancing happening las vegas wrong party incredible jams guitar gal pop music heavy guitars rock music pop standards real rock rock guitar cats michael michael jackson pop forever amazing tribute                                                                                     "
1207,"Cirque du Soleil - MJ One","crowd including                                                                                                                         "
1208,"Cirque du Soleil - MJ One","michael jackson favorite performances mirror don earth song visuals lighting lighting awesome awesome threatre threatre comfortable comfortable seats                                                                                                                 "
1209,"Cirque du Soleil - MJ One","michael jackson incredibly talented totally worth                                                                                                                       "
1210,"Cirque du Soleil - MJ One","terrific moments incredible set amazing effects effects including including tons hologram version super close huge michael michael jackson jackson fan                                                                                                                "
1211,"Cirque du Soleil - MJ One","real deal deal mind mind blowing blowing talent talent broadway stop singing                                                                                                                    "
1212,"Cirque du Soleil - MJ One","experience pro single song music amp amp sound sound effects seat lights super cute cute con amazingly crowded acrobatic act act voices                                                                                                               "
1213,"Cirque du Soleil - MJ One","showcased michael super cute aerial tricks individually outlined entire production executed flawlessly jackson family family proud late michael michael jackson                                                                                                                "
1214,"Cirque du Soleil - MJ One","nice vegas visiting vegas michael jackson video ad mandalay site site offering offering flash flash discounts regular price pax inclusive booking fees cool stage theater prior middle rows bit elevated stage effects effects props mind blowing dancers totally totally rocked amazing artist artist michael michael jackson jackson lived musical memories entertained worth                                                                                                "
1215,"Cirque du Soleil - MJ One","pleasantly surprised story delightfully michael jackson                                                                                                                       "
1216,"Cirque du Soleil - MJ One","totally blown beautiful musical musical tribute favorite performers miss dearly people dancing amazing nonstop nonstop magical magical performances michael jackson jackson hologram michael jackson jackson concert includes broadway amazing performers performers michael michael jackson                                                                                                         "
1217,"Cirque du Soleil - MJ One","michael jackson                                                                                                                         "
1218,"Cirque du Soleil - MJ One","dirty deed deed aired                                                                                                                        "
1219,"Cirque du Soleil - MJ One","michael jackson bring emotions huge fan seats NANANANANA perfect seats michael jackson concert growing                                                                                                                   "
1220,"Cirque du Soleil - MJ One","socially conscious michael jackson                                                                                                                        "
1221,"Cirque du Soleil - MJ One","michael jackson total experience experience brought brought lots artistic expression musical legend simply amazing hologram piece trampoline piece bad seat music selection unique performances snap pictures                                                                                                             "
1222,"Cirque du Soleil - MJ One","total performers fav song                                                                                                                        "
1223,"Cirque du Soleil - MJ One","michael jackson spectacular class class act huge michael michael jackson jackson fan fan utterly utterly captivating finish includes includes music timeless hits hits including including billie billie jean jean pyt pyt dirty dirty diana diana beat white remember thriller spooktacular spooktacular costumes costumes theatrics theatrics sounds sounds effects halloween masquerade jump outta seat amp amp busta busta moves moves damn dance baby baby dance creative amp amp glowingly glowingly beautiful beautiful presentation awesome acrobatics acrobatics incorporated singature dance dance moves moves amp moon walkers legged acrobateer highly recommend sunday NANANANANA NANANANANA completely completely sold mandalay bay bay hotel hotel amp amp casino somber sad sad feeling lyft ride beautiful souls amp goodwill goodwill michael michael stood world filled world filled world filled world filled michael jackson worthy tribute mandalay bay worthy tribute legend remember remember honor honor rest light amp beautiful souls                                                   "
1225,"Cirque du Soleil - MJ One","sign language family speaks sign language                                                                                                                       "
1226,"Cirque du Soleil - MJ One","beautiful tribute career photography started acrobatic amazing highly highly recommend vegas semi semi kid kid friendly friendly occasionally occasionally colorful colorful language language lots performance crew acrobatic activities                                                                                                            "
1227,"Cirque du Soleil - MJ One","bright lights time michael michael jackson legendary artist                                                                                                                      "
1228,"Cirque du Soleil - MJ One","second time time watching super excited attend michael michael jackson mandalay bay stadium seating super comfortable awesome seats seats pre souvenir store dress code massive NAd NAd screen stage don paparazzi actors actors approach classics thriller thriller smooth smooth criminal criminal billie billie jean jean dirty dirty diana diana bad bad beat lighting visual visual effects dance moves past month month commemorated NAth birthday                                                                                          "
1229,"Cirque du Soleil - MJ One","mine amp highly recommended background music actual entertainers time amp twenty minutes dark theater happened kids length gap                                                                                                                 "
1230,"Cirque du Soleil - MJ One","tickets start discount sellers rewards programs michael jackson jackson story jackson estate media paparazzi aerial stunts bad seats                                                                                                                 "
1231,"Cirque du Soleil - MJ One","dancing unique unique stage stage effects effects circus circus elements pretty abstract abstract storyline storyline typical scantily clad clad dancers viewing pleasure pleasure thrilleeeeeerrrrrrrr                                                                                                              "
1232,"Cirque du Soleil - MJ One","michael jackson jackson fan NArd row egg middle                                                                                                                      "
1233,"Cirque du Soleil - MJ One","michael jackson total kid super excited story line weak magic magic michael michael jackson jackson items flat stage performers flew complete lack walls entertainment thriller portion completely revamp                                                                                                            "
1234,"Cirque du Soleil - MJ One","intimate theater moon walker track suits recent backlash backlash hbo hbo stirred                                                                                                                    "
1235,"Cirque du Soleil - MJ One","michael proud                                                                                                                         "
1236,"Cirque du Soleil - MJ One","michael jackson michael jackson jackson songs michael jackson jackson songs pretty cool performances fake fake snow snow fell fake snow leave faint faint marks black shirt clean shirt foamy bits bits stuck clothes yelp yelp collections collections vegas                                                                                                       "
1237,"Cirque du Soleil - MJ One","songs billie billie jean jean amp amp thriller beautiful montage song choices stressful times singing smile dancers floating stage acrobats acrobats jumping flying flips stage jugglers infamous white white sparkly sparkly glove ring circus iconic song song black black amp amp white talented performers                                                                                                    "
1238,"Cirque du Soleil - MJ One","michael jackson jackson fan fairly quickly spectacular journey michael jackson freakin awesome super expensive metal detector fairly quick starts promptly row kk                                                                                                               "
1239,"Cirque du Soleil - MJ One","late michael michael jackson fantastic job art forms hate located mandalay bay michael jackson theater dedicated staff moves bag check security buy official time wide range impressive acrobatics silks tightrope tightrope poledancing poledancing trampoline perfectly paired stage effectively classic songs songs incorporated set beautifully special effects effects drawing video clips special hologram hologram surprise throughly entertained late singer worth watching                                                                                            "
1240,"Cirque du Soleil - MJ One","booking method buying online impressed pre venue seating metal detector detector checks feasibly moved similar height booster cushions                                                                                                                 "
1241,"Cirque du Soleil - MJ One","michael jackson creates choreography michael jackson jackson performing stage crew absolutely amazing amazing check seated quickly souvenir shop ideal seating lower level aisle seats middle upper upper section lower level eye level level honestly honestly based seating layout bad view discount codes facebook page promo codes final piece dirty donovan donovan advice fake snow snow sticks wear black apparent lol                                                                                            "
1242,"Cirque du Soleil - MJ One","immersive story amazing visuals visuals crazy crazy acrobatics pre recorded recorded tracks ushers dressed missed watch fan jy                                                                                                                 "
1243,"Cirque du Soleil - MJ One","shed tears michael jackson jackson snow highly recommend perfectly executing professional level                                                                                                                    "
1244,"Cirque du Soleil - MJ One","amazing production captivating production fine seating tv screens immersive experience choreography acrobatics completely revolves theatrical effects create amazing amazing effects favorite scene trampoline team                                                                                                              "
1245,"Cirque du Soleil - MJ One","michael jackson legal reasons hit songs billy jean jean thriller white don people late top hits pretty awesome billie jean jean performance pitch black bucket list                                                                                                             "
1246,"Cirque du Soleil - MJ One","absolute wow utter awe stunning jaw jaw dropping dropping tear tear jerking jerking tribute legend michael michael jackson jackson located mandalay bay bay hotel staff dressed micheal jackson jackson inspired inspired costumes actual costumes concession stand light snacks friendly staff lovely staff staff moved moved people perfect seats las vegas music arrangements las vegas                                                                                               "
1247,"Cirque du Soleil - MJ One","las vegas recommend sitting hours comfy comfy seat seat pop pop corn                                                                                                                    "
1248,"Cirque du Soleil - MJ One","concert musical breathe haha original seat cost originally digital effects bit dirty exit entrance crowded narrow narrow hall                                                                                                                 "
1249,"Cirque du Soleil - MJ One","read reviews music justice tour rep highly recommended uplifting enteryaining enteryaining emotional multiple times seating wise exact middle seat choices choices genuinely stage set isle dancers dancers premium premium seat seat prices buffet package package deal catgeory absolutely start staff people attending worth paying                                                                                                    "
1250,"Cirque du Soleil - MJ One","ten stars leave mike creativity acrobatics anime cartoon                                                                                                                      "
1251,"Cirque du Soleil - MJ One","michael jackson music catalogue pretty neat bit flat touring michael michael jackson michael jackson neat costumes costumes performances worth watching michael jackson                                                                                                               "
1252,"Cirque du Soleil - MJ One","eyes extremely extremely powerful michael jackson                                                                                                                       "
1253,"Cirque du Soleil - MJ One","upgraded rating drastic change performing arts fun segments song singing dancing aren original opinion                                                                                                                   "
1254,"Cirque du Soleil - MJ One","honorable tribute michael jackson amazing acrobatics acrobatics dance dance special special effects daring acts dance involved ordinary choreographed choreographed dance dancing alongside realistic hologram michael jackson play leaving michael jackson security check body scanner belongings checked felt safe similar procedures highly recommend mandalay bay                                                                                                    "
1255,"Cirque du Soleil - MJ One","bit conflicted purely entertainment entertainment level star review purely technical entertainment level signature songs modern dance dance tricks super crazy effects costume costume changes changes dances amazingly flexible happy row super solid solid seats performance personally razor thin thin plot ultimate conclusion conclusion felt felt weird meanings felt felt detracting final act creative flow ultimately super super weird weird conclusion pictures expect watchful security people won technical feats                                                                                        "
1256,"Cirque du Soleil - MJ One","snack counter counter threatened gift items water jesus jesus yelled started waving anticipated enchanted horrible attitude aggravated jesus jesus luckily amazing sad sad beautiful beautiful fun fun scary zombie walked exhilarating billie billie jean pyrotechnics magic concert acrobatics friendly human performers kudos                                                                                                     "
1258,"Cirque du Soleil - MJ One","michael jackson mandalay bay bay lv lv friday friday november NApm sold premiere vip vip center center aisle aisle seat seat sec fantastic acoustic acoustic rumbles michael jackson jackson performed nice xxx xxx social social calendar NArd trip las vegas las vegas                                                                                                     "
1259,"Cirque du Soleil - MJ One","spring break michael jackson jackson classics performers moved feel engage performance intertwines michael jackson favorite performances dirty diana billie jean testy eyed played jackson highly recommend drink holders gift shop shop bags people standing waiting line gift shop people shopping people shopping pretty chaotic window displays michael jackson jackson memorabilia                                                                                                 "
1260,"Cirque du Soleil - MJ One","mandalay bay billie jean jean ben ben dirty dirty diana awesome sister closing act creatively designed iconic songs visually stunning stunning stage stage presence style performance michael jackson jackson songs highly recommend awesome theatrical theatrical spectacle actual scene NAd holographic holographic scene party event event family family gatherings michael jackson jackson music stop till yelp review                                                                                              "
1261,"Cirque du Soleil - MJ One","visiting vegas read reviews aerial performers ticket price main characters real fan fan understands                                                                                                                   "
1262,"Cirque du Soleil - MJ One","absolutely amazing absolutely amazing middle seats seats versus tickets select select view                                                                                                                    "
1263,"Cirque du Soleil - MJ One","michael jackson jackson music dance performance performance blew                                                                                                                      "
1264,"Cirque du Soleil - MJ One","michael jackson jackson music brought tears front row row tickets sixth row huge mistake dancers breathing facial movements neck hurt hurt tremendously spend extra extra money close seats jackets mNAj special moment                                                                                                          "
1265,"Cirque du Soleil - MJ One","michael jackson mandalay bay bay casino ticket options recommend shopping live action action music music videos videos based michael jackson popular songs paparazzi harassing harassing audience comic interludes lavish performances imagery restricting michael jackson jackson broadens art form time visitors michael jackson top notch human performances unexpected surprises electronic lights                                                                                                 "
1266,"Cirque du Soleil - MJ One","impressive acrobatically super loud loud music music set music videos screens unlike                                                                                                                    "
1267,"Cirque du Soleil - MJ One","las vegas list perfect perfect selection michael jackson fantastic choreography amazing staging lighting effects feel emerged song performance highly recommend                                                                                                                "
1268,"Cirque du Soleil - MJ One","star rating half rating star level monday march march NAth dance performance dance background neat visual visual effects front center center seats favorite segments dirty diana diana thriller dance class                                                                                                           "
1269,"Cirque du Soleil - MJ One","michale jackson micheal jackson                                                                                                                        "
1270,"Cirque du Soleil - MJ One","honestly boring boring poor poor michael michael jackson green lighted positive reviews michael jackson                                                                                                                   "
1271,"Cirque du Soleil - MJ One","freakin finger finger puppet michael jackson jackson called unicorn puked literally paid damn video billy jean amazing white white guy guy solo moon walk amazing amputee amputee guy white millennials                                                                                                           "
1272,"Cirque du Soleil - MJ One","sensory overload favorite songs fav abc dancers dress shadow puppets                                                                                                                     "
1273,"Cirque du Soleil - MJ One","extremely disappointed waste ur ur time color hated                                                                                                                      "
1274,"Cirque du Soleil - MJ One","electric guitar guitar instrumental instrumental throughput hair band band accompaniment dance troupe handicap dancer amazing dancer                                                                                                                  "
1275,"Cirque du Soleil - MJ One","strip bar michael jackson jackson fan choreography dance dance routines routines NAd NAd hologram dance alike alike performer flawless music weak link huge rush hair stood perfect montage music videos dance routines                                                                                                          "
1276,"Cirque du Soleil - MJ One","amazing tribute michael jackson michael jackson jackson fan                                                                                                                      "
1277,"Cirque du Soleil - MJ One","moved closer highly recommend                                                                                                                        "
1278,"Cirque du Soleil - MJ One","fantastic absolutely absolutely stunning stunning performance performance based michael jackson incredibly friendly comfortable seats padded cushioning loud noises recommend reconsidering reconsidering attending intimate immersive immersive experience ear shattering night club sound production cinemark xd xd theater theater don terrific set entire scene michael jackson emotional experience nice surprise neverland ranch ranch scene body contortionist contortionist acrobats massive pool rotating stage tickets based level seats balcony level action harder picture seat seat waswere waswere section                                                                                     "
1280,"Cirque du Soleil - MJ One","technical elements fell short excelled billie billie jean jean bad post standing movie theater theater prices expected pros pros quality quality dancers cool tech tech cons cons cost cost consistency                                                                                                           "
1281,"Cirque du Soleil - MJ One","main performer performer amp leg steal acrobatics amp section distant distant seats seats similar                                                                                                                   "
1282,"Cirque du Soleil - MJ One","third time amazing dances loose storyline totally follow feel overwhelmed jaw dropping dropping athletics time people people entered row ahead act insisting bit annoyingly                                                                                                              "
1283,"Cirque du Soleil - MJ One","michael jackson jackson based dance classes speaking specifically male solo pretty cool cool technology lower level level seats bad seats buy upper upper levels upper level favorite remember lineup bah bah humbug amazing performance                                                                                                         "
1284,"Cirque du Soleil - MJ One","fourth time subtle changes absolutely phenomenal completely worth michael jackson michael jackson                                                                                                                    "
1285,"Cirque du Soleil - MJ One","dad treated nice touch visual display sensitive yo yo hearing tribute piece greatly missed                                                                                                                   "
1286,"Cirque du Soleil - MJ One","michael jackson amazing tribute bit eerie bad seat audience involved highly recommend michael jackson jackson fan delano valet closer walk mandalay bay bay parking parking garage                                                                                                             "
1287,"Cirque du Soleil - MJ One","huge fan mandalay bay generates profit                                                                                                                       "
1288,"Cirque du Soleil - MJ One","seats centre centre stage milestone birthday birthday don blue laser laser light distracting plz plz don frkn awesome                                                                                                                 "
1289,"Cirque du Soleil - MJ One","list asap talented performances performances including including dancing dancing singing acrobatic stunts classic hits beautifully choreographed mood perfectly special effects billie jean seating don bother paying seated closer row qq                                                                                                           "
1290,"Cirque du Soleil - MJ One","las vegas michael jackson opinion reflect true genius story line readily understood time people star rating                                                                                                                  "
